,0
0,VOLKSWAGEN
1,PEUGEOT
2,RENAULT
3,TOYOTA
4,FORD
5,CHEVROLET
6,FIAT
7,JEEP
8,CITROEN
9,HONDA
10,SUZUKI
11,AUDI
12,CHERY
13,BMW
14,NISSAN
15,DODGE
16,MERCEDES BENZ
17,CHRYSLER
18,KIA
19,HYUNDAI
20,ALFA ROMEO
21,MINI
22,MITSUBISHI
23,DS
