,0
123,1.8 AT Longitude (128cv) (L19)
124,XEI 1.8 MT (136cv) (L12)
125,2.4 EX AT
126,Variant 1.6 MT Trendline (110cv) (L15)
127,1.5 SE (105cv) 5Ptas.
128,1.8 MT Sport Plus (128cv)
129,Variant 1.4 TSI Highline DSG (150cv) (L15)
130,1.6 16v. Allure MT (115cv)
131,1.6 MSi Trendline Tiptronic (110cv) (L18) 5Ptas.
132,4x2 CD SR 2.4 TDI 6MT (150cv) (L18)
133,3.0 TDI C/D 4x4 SRV AT Cuero (171cv)
134,1.0 Take Up! AA (75cv) 3Ptas.
135,1.6 Highline 5Ptas. (MY14 ABG ABS)
136,1.8 AT Sport Plus (128cv)
137,2.0 16v 6MT Intens Bitono Nav. Evo. (143cv)
138,Cabina Doble 1.6 Pack High (101cv) (L13) 
139,1.8 i-VTEC LX CVT 2WD (140cv) (L20)
140,5Ptas. 2.0 Hdi XS Premium (110cv) (L06)
141,1.6 MSI 5Ptas. Comfortline (101cv) (L17)
142,1.6 Confort
143,2.0 16v 4x2 Confort (138cv)
144,SW XS Premium 1.6
145,Max 4Ptas. 1.6 N Ambiente Plus
146,Fase II 1.6 4x2 Dynamique (110cv) DISCONTINUO
147,4Ptas. 1.4 N Spirit / LS AA DA
148,GSI 2.4 16v 5Ptas.
149,1.6 Comfortline Tiptronic (105cv) (L15) 4Ptas.
150,Working C/Simple 1.4 AA Seguridad (L14)
151,1.4 N 8v LS AA DA (92cv) 3Ptas. (L13)
152,Fase II 1.6 8v Authentique Pack I ABS (90cv)
153,Fase II 1.6 4x2 Privilege (110cv) DISCONTINUO
154,Essence 1.6 MT 5Ptas. (115cv) (L12)
155,4x2 CD SRX 2.8 TDI 6AT (177cv) (L18)
156,2.0 SE Plus MT (170cv) 5Ptas. (L15)
157,5Ptas.- 1.6 16v X (110cv)
158,5Ptas.- 1.6 16v X Pack Look (110cv)
159,Attractive 1.4 Pack Top 5Ptas. (85cv) (L12)
160,2.0 Freedom 4x4 9AT Cab/Doble Pack Technology
161,II 5Ptas. 2.0 N Trend Plus (L08)
162,1.6 HDI 6MT Feel Pack (115cv) (L16)
163,Allure 2.0 MT NAV (143cv) 4Ptas.
164,3Ptas. 1.2 Expression / Pack / Authentique (75cv)
165,4Ptas. 1.4 N LT Spirit Pack
166,Fire 1.3 Pack 2 / Pack B / Confort AA s/DA (68cv) 5Ptas.
167,GLS 2.0 16v
168,2.0 TDI (180cv) 4x2 C/Doble Comfortline (L17)
169,Sportback 1.6 (102cv) MT
170,5Ptas. 1.8 Nafta GL AA DA
171,II EXE 4Ptas. 2.0 N Ghia AT (L08)
172,1.8 AT Precision Pack Premium (130cv)
173,1.6 4x2 Confort ABS (110cv)
174,2.0 TDI (180cv) 4x4 C/Doble Trendline AT 
175,SE-G 1.8 AT (136cv) (L12)
176,1.4 LT / LT Spirit 5Ptas.
177,Fase II 1.6 4x2 Expression (110cv) DISCONTINUO
178,2.8 TD DLX 4x2
179,1.6 MSi Comfortline Plus Tiptronic (110cv) (L18) 5Ptas. DISCONTINUO
180,2.5 TDI C/D 4x4 DX Pack 2ABG ABS (120cv)
181,1.4 HDi SX
182,3.0 TDI C/D 4x2 SRV (171cv)
183,2.0 TDI Elegance DSG (140cv)
184,5Ptas. 1.6 N Ambiente AT
185,XEI 1.8 MT (140cv) (L18)
186,1.8 LXS MT Sedán (140cv) (L06)
187,XLI 1.8 CVT(140cv) (L18)
188,XLI 1.8 MT (140cv) (L18)
189,2.0 SE Plus MT (170cv) 4Ptas.
190,1.4 ELX Fire AA DA (L06)
191,1.6i THP 6AT Tendance (165cv) 
192,Fase II 1.6 16v Privilege NAV (105cv)
193,Sport 2.4 Nafta MT
194,Fase II 1.6 8v Expression ABS (90cv)
195,2.0 Freedom 4x2 6MT Cab/Doble
196,2.0 Outsider Plus 4x4 (143cv)
197,1.6 Confort Plus MT (110cv)
198,5Ptas. 1.4 Active / EdG Géneration
199,Patagónica 1.6 Hdi VTC Plus (90cv) (L10)
200,2.0 Luxe Pack CVT (143cv)
201,Allure+ 1.6 HDi MT (115cv) 4Ptas.
202,2.5 R5 Advance Plus Tiptronic (170cv)
203,1.0 Way (75cv)
204,2.0 TDI (180cv) 4x2 C/Doble Highline
205,2.0 GTI DSG App Connect Cuero (220cv) (L15)
206,3.0 TDI C/D 4x4 SR (171cv)
207,1.6 Conceptline (101cv) (L08)
208,330i Sedán Executive
209,1.6 Advance Ed.Limitada UEFA CVT (120cv) DISCONTINUO
210,Furgón 1.9 D Pack
211,Compact SW 1.6 N XS (110cv)
212,1.6 MSI Highline I-Motion Techo (L18)
213,Cabina Extendida 1.6 Safety Pack Elec.(101cv) (L13) 
214,1.0 Iconic (66cv)
215,Adventure C/Doble 3Ptas. 1.6 Pack Top / Serie
216,1.4 Attractive / ELX Pack Top 5Ptas. (87cv)
217,2.0 TFSi S-Tronic Quattro (211cv)
218,Fire 1.4 Pack Top 5Ptas.
219,5Ptas. 1.4 TD Edge
220,1.0 Zen (66cv)
221,5Ptas. Visia 1.8 (126cv)
222,1.3 Drive MT (99cv)
223,1.4 8v Cult MT (85cv)
224,1.0 Easy Pack Top (75cv)
225,2.0 Privilege CVT Cuero (143cv)
226,4x2 CD DX 2.4 TDI 6MT (150cv) (L18)
227,4Ptas. Tekna 1.8 Full (124cv)
228,1.6 Comfortline Plus (101cv)
229,Feline 1.6 HDi MT (115cv) 4Ptas.
230,1.6 Exclusive Bitono CVT (120cv) DISCONTINUO
231,2.5T AT Titanium 4x4
232,1.6 MSI Comfortline (L18)
233,1.6i THP 6AT Exclusive P.Select (163cv)
234,325i Coupé Executive
235,Weekend 1.4 Attractive (ELX) Top / Class / Active II
236,2.8 CTDI C/Doble 4x2 LS (200cv) (L16)
237,1.4 8v. Dynamic 
238,1.4 8v. Active
239,II - 1.6 16v Dynamique (105cv)
240,2.0 TDI (163cv) 4x4 C/Doble Highline Pack
241,Feline 1.6 THP MT (163cv) 5Ptas. (L16)
242,SXT 2.4 3 Filas
243,1.8 EXS MT Sedán (140cv) (L06)
244,1.8 N 8v GL AA DA
245,II - 1.6 8v. Expression (85cv) (L14)
246,4Ptas. 1.4 N LT Spirit
247,2.0 Privilege (143cv)
