iter	Passed	Remaining
429	1719	2279
430	1724	2277
431	1729	2273
432	1732	2268
433	1736	2264
434	1741	2262
435	1744	2257
436	1748	2252
437	1753	2249
438	1758	2247
439	1762	2243
440	1766	2239
441	1772	2237
442	1776	2233
443	1780	2229
444	1784	2225
445	1790	2223
446	1795	2221
447	1799	2217
448	1803	2213
449	1808	2210
450	1812	2205
451	1815	2200
452	1818	2196
453	1825	2195
454	1828	2190
455	1832	2186
456	1837	2183
457	1842	2180
458	1847	2177
459	1851	2173
460	1856	2170
461	1861	2167
462	1865	2163
463	1871	2161
464	1874	2157
465	1879	2153
466	1883	2149
467	1888	2147
468	1894	2145
469	1899	2141
470	1904	2139
471	1909	2135
472	1913	2132
473	1918	2128
474	1923	2125
475	1929	2123
476	1933	2119
477	1938	2116
478	1942	2112
479	1946	2108
480	1951	2105
481	1953	2099
482	1957	2095
483	1961	2090
484	1964	2086
485	1968	2082
486	1972	2078
487	1976	2074
488	1982	2071
489	1986	2067
490	1990	2063
491	1993	2058
492	1997	2054
493	2000	2049
494	2004	2045
495	2008	2041
496	2013	2037
497	2017	2033
498	2021	2029
499	2025	2025
500	2029	2021
501	2033	2016
502	2037	2013
503	2041	2009
504	2046	2005
505	2050	2001
506	2054	1997
507	2058	1993
508	2062	1989
509	2066	1985
510	2070	1981
511	2074	1977
512	2078	1973
513	2081	1968
514	2085	1964
515	2090	1960
516	2095	1957
517	2099	1953
518	2103	1949
519	2106	1944
520	2110	1940
521	2113	1935
522	2117	1931
523	2121	1927
524	2125	1922
525	2128	1918
526	2132	1914
527	2136	1910
528	2139	1905
529	2143	1900
530	2147	1897
531	2151	1892
532	2155	1888
533	2159	1884
534	2162	1879
535	2165	1874
536	2168	1869
537	2173	1866
538	2176	1861
539	2180	1857
540	2183	1852
541	2187	1848
542	2190	1843
543	2194	1839
544	2197	1834
545	2201	1830
546	2205	1826
547	2209	1822
548	2213	1818
549	2216	1813
550	2219	1808
551	2223	1804
552	2227	1800
553	2231	1796
554	2234	1791
555	2238	1787
556	2242	1783
557	2247	1780
558	2251	1776
559	2254	1771
560	2259	1767
561	2263	1764
562	2266	1759
563	2270	1755
564	2273	1750
565	2277	1746
566	2282	1742
567	2285	1738
568	2288	1733
569	2291	1728
570	2295	1724
571	2298	1720
572	2302	1715
573	2306	1712
574	2310	1707
575	2314	1703
576	2318	1699
577	2321	1695
578	2325	1690
579	2329	1686
580	2332	1682
581	2335	1677
582	2339	1673
583	2343	1669
584	2346	1664
585	2350	1660
586	2354	1656
587	2358	1652
588	2360	1647
589	2364	1643
590	2367	1638
591	2371	1634
592	2375	1630
593	2379	1626
594	2382	1621
595	2385	1617
596	2388	1612
597	2392	1608
598	2396	1604
599	2399	1599
600	2403	1595
601	2406	1591
602	2410	1586
603	2414	1583
604	2418	1578
605	2421	1574
606	2425	1570
607	2428	1566
608	2432	1561
609	2436	1557
610	2440	1553
611	2445	1550
612	2448	1545
613	2452	1541
614	2455	1537
615	2460	1533
616	2463	1529
617	2467	1525
618	2471	1521
619	2474	1516
620	2478	1512
621	2482	1508
622	2486	1504
623	2488	1499
624	2493	1496
625	2497	1492
626	2501	1488
627	2506	1484
628	2510	1480
629	2513	1476
630	2516	1471
631	2520	1467
632	2524	1463
633	2528	1459
634	2531	1455
635	2535	1450
636	2539	1447
637	2544	1443
638	2548	1439
639	2552	1436
640	2556	1432
641	2560	1428
642	2564	1423
643	2567	1419
644	2571	1415
645	2575	1411
646	2579	1407
647	2584	1403
648	2588	1399
649	2592	1396
650	2597	1392
651	2600	1388
652	2605	1384
653	2610	1380
654	2613	1376
655	2617	1372
656	2621	1368
657	2625	1364
658	2628	1360
659	2633	1356
660	2637	1352
661	2641	1348
662	2645	1344
663	2650	1341
664	2653	1336
665	2659	1333
666	2663	1329
667	2666	1325
668	2671	1321
669	2674	1317
670	2679	1313
671	2682	1309
672	2686	1305
673	2691	1301
674	2695	1297
675	2699	1293
676	2703	1290
677	2707	1285
678	2711	1282
679	2715	1277
680	2719	1273
681	2722	1269
682	2726	1265
683	2730	1261
684	2734	1257
685	2737	1253
686	2742	1249
687	2745	1244
688	2749	1240
689	2753	1236
690	2756	1232
691	2760	1228
692	2764	1224
693	2768	1220
694	2772	1216
695	2775	1212
696	2780	1208
697	2783	1204
698	2788	1200
699	2792	1196
700	2795	1192
701	2799	1188
702	2802	1184
703	2806	1180
704	2810	1175
705	2813	1171
706	2818	1168
707	2821	1163
708	2825	1159
709	2829	1155
710	2833	1151
711	2838	1147
712	2841	1143
713	2844	1139
714	2847	1134
715	2850	1130
716	2854	1126
717	2859	1122
718	2863	1119
719	2866	1114
720	2869	1110
721	2872	1106
722	2876	1101
723	2879	1097
724	2883	1093
725	2886	1089
726	2889	1085
727	2894	1081
728	2897	1077
729	2901	1072
730	2905	1069
731	2908	1064
732	2912	1060
733	2916	1056
734	2920	1052
735	2923	1048
736	2927	1044
737	2930	1040
738	2934	1036
739	2936	1031
740	2939	1027
741	2943	1023
742	2946	1019
743	2950	1015
744	2954	1011
745	2958	1007
746	2962	1003
747	2964	998
748	2968	994
749	2972	990
750	2975	986
751	2980	982
752	2983	978
753	2988	975
754	2992	971
755	2996	967
756	3000	963
757	3003	958
758	3007	954
759	3010	950
760	3014	946
761	3017	942
762	3021	938
763	3024	934
764	3028	930
765	3032	926
766	3036	922
767	3039	918
768	3043	914
769	3046	910
770	3049	905
771	3053	901
772	3057	897
773	3060	893
774	3064	889
775	3068	885
776	3072	881
777	3075	877
778	3079	873
779	3083	869
780	3086	865
781	3090	861
782	3094	857
783	3097	853
784	3101	849
785	3104	845
786	3108	841
787	3112	837
788	3116	833
789	3121	829
790	3124	825
791	3128	821
792	3132	817
793	3136	813
794	3140	809
795	3143	805
796	3147	801
797	3152	797
798	3156	794
799	3159	789
800	3163	785
801	3167	781
802	3170	777
803	3175	774
804	3179	770
805	3183	766
806	3185	761
807	3189	757
808	3192	753
809	3195	749
810	3199	745
811	3202	741
812	3206	737
813	3210	733
814	3214	729
815	3217	725
816	3220	721
817	3224	717
818	3226	713
819	3229	708
820	3233	705
821	3237	701
822	3241	697
823	3244	693
824	3249	689
825	3251	685
826	3255	680
827	3258	676
828	3262	672
829	3266	669
830	3270	665
831	3274	661
832	3277	657
833	3282	653
834	3286	649
835	3289	645
836	3293	641
837	3296	637
838	3300	633
839	3303	629
840	3307	625
841	3312	621
842	3316	617
843	3320	613
844	3324	609
845	3327	605
846	3331	601
847	3335	597
848	3339	593
849	3342	589
850	3346	585
851	3350	581
852	3353	577
853	3356	573
854	3360	569
855	3364	566
856	3368	561
857	3371	558
858	3375	554
859	3379	550
860	3382	546
861	3386	542
862	3389	538
863	3392	533
864	3396	530
865	3400	526
866	3403	522
867	3407	518
868	3411	514
869	3415	510
870	3419	506
871	3423	502
872	3427	498
873	3431	494
874	3434	490
875	3437	486
876	3440	482
877	3443	478
878	3446	474
879	3450	470
880	3454	466
881	3458	462
882	3461	458
883	3464	454
884	3467	450
885	3470	446
886	3473	442
887	3478	438
888	3482	434
889	3486	430
890	3491	427
891	3494	423
892	3496	419
893	3501	415
894	3505	411
895	3509	407
896	3513	403
897	3516	399
898	3519	395
899	3523	391
900	3526	387
901	3530	383
902	3532	379
903	3536	375
904	3539	371
905	3543	367
906	3547	363
907	3552	359
908	3555	355
909	3558	351
910	3562	348
911	3565	343
912	3568	340
913	3571	336
914	3575	332
915	3578	328
916	3581	324
917	3584	320
918	3589	316
919	3591	312
920	3596	308
921	3599	304
922	3602	300
923	3606	296
924	3609	292
925	3613	288
926	3617	284
927	3621	280
928	3625	277
929	3629	273
930	3632	269
931	3637	265
932	3640	261
933	3643	257
934	3647	253
935	3651	249
936	3655	245
937	3659	241
938	3663	237
939	3666	234
940	3669	230
941	3674	226
942	3679	222
943	3684	218
944	3687	214
945	3690	210
946	3694	206
947	3697	202
948	3701	198
949	3704	194
950	3708	191
951	3711	187
952	3715	183
953	3719	179
954	3723	175
955	3726	171
956	3729	167
957	3733	163
958	3735	159
959	3770	157
960	3782	153
961	3789	149
962	3794	145
963	3799	141
964	3805	138
965	3811	134
966	3819	130
967	3826	126
968	3835	122
969	3840	118
970	3844	114
971	3849	110
972	3852	106
973	3857	102
974	3862	99
975	3865	95
976	3870	91
977	3875	87
978	3881	83
979	3885	79
980	3889	75
981	3894	71
982	3897	67
983	3902	63
984	3907	59
985	3911	55
986	3917	51
987	3922	47
988	3926	43
989	3930	39
990	3934	35
991	3939	31
992	3943	27
993	3948	23
994	3953	19
995	3956	15
996	3960	11
997	3964	7
998	3969	3
999	3973	0
