iter	Passed	Remaining
416	2672	3736
417	2677	3727
418	2682	3719
419	2686	3710
420	2692	3703
421	2697	3694
422	2701	3685
423	2706	3677
424	2710	3667
425	2715	3659
426	2721	3651
427	2727	3645
428	2732	3637
429	2736	3626
430	2741	3618
431	2745	3609
432	2749	3600
433	2755	3593
434	2761	3587
435	2767	3580
436	2772	3572
437	2777	3563
438	2781	3553
439	2784	3544
440	2788	3534
441	2793	3527
442	2798	3519
443	2803	3510
444	2808	3502
445	2814	3496
446	2819	3487
447	2824	3480
448	2830	3472
449	2835	3465
450	2840	3458
451	2844	3448
452	2848	3439
453	2852	3430
454	2857	3422
455	2862	3415
456	2866	3406
457	2871	3397
458	2875	3388
459	2879	3379
460	2883	3371
461	2889	3364
462	2895	3358
463	2901	3351
464	2907	3345
465	2913	3338
466	2919	3331
467	2928	3328
468	2933	3321
469	2939	3314
470	2944	3307
471	2949	3299
472	2955	3293
473	2961	3286
474	2967	3279
475	2973	3273
476	2979	3266
477	2984	3258
478	2989	3251
479	2995	3245
480	3000	3237
481	3005	3230
482	3009	3221
483	3014	3213
484	3019	3206
485	3023	3198
486	3028	3189
487	3033	3182
488	3039	3175
489	3045	3170
490	3050	3162
491	3054	3153
492	3060	3147
493	3065	3139
494	3069	3131
495	3076	3126
496	3081	3118
497	3087	3111
498	3091	3104
499	3098	3098
500	3105	3093
501	3112	3087
502	3119	3082
503	3125	3075
504	3133	3071
505	3140	3066
506	3148	3061
507	3154	3055
508	3160	3048
509	3165	3041
510	3170	3033
511	3183	3033
512	3190	3028
513	3195	3021
514	3202	3015
515	3209	3010
516	3215	3003
517	3223	2999
518	3231	2994
519	3240	2991
520	3245	2984
521	3254	2980
522	3264	2977
523	3268	2969
524	3274	2962
525	3282	2957
526	3290	2952
527	3294	2945
528	3299	2938
529	3307	2933
530	3315	2928
531	3323	2923
532	3330	2917
533	3336	2911
534	3342	2905
535	3347	2897
536	3355	2893
537	3363	2888
538	3369	2881
539	3375	2875
540	3383	2870
541	3388	2863
